,Time/Cells/Single Cells/Live | Freq. of Single Cells (%),Time/Cells/Single Cells/Live/CD45+ | Freq. of Live (%),"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3+ (T cells) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)*** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16+, CD56dim (NK Cells CD56dim) | Freq. of NOT CD16-, CD56- (Total NK cells)*** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123-/NOT CD16-, CD56- (Total NK cells)***/CD16-, CD56bright (NK Cells CD56bright) | Freq. of NOT CD16-, CD56- (Total NK cells)*** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD19+ (B cells)*** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/CD45low, CD16+ (Neutrophils) *** | Freq. of CD45+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123+, CD16- (pDCs) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) *** | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141- CD1c+ (cDC2s) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141+, CD1c- (cDC1s) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16-/CD11c+ (Total cDCs) ***/CD141-, CD1c- (DN cDCs) *** | Freq. of CD11c+ (Total cDCs) *** (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes)+ or CD16- (Classical Monocytes)+ or CD123-, CD16+ (Non-Classical Monocytes)+ | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16- (Classical Monocytes) | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14+/CD16+ (Intermediate Monocytes) | Freq. of NOT CD45low, CD16+ (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR+/CD123-, CD16+ (Non-Classical Monocytes) | Freq. of NOT CD45low, CD16+ (%)",
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,81.3,98.5,79.2,1.11,29.4,14.7,12.7,2.82,1.62,0.022,0.28,11.5,0,88.5,4.16,3.26,0.63,0.27,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,85.7,95.4,68.8,6.33,77.1,3.14,6.50,2.49,2.36,0.028,0.057,0,0,100,14.5,12.9,1.25,0.40,
2022-10-27_Tasso ID 6 Vein PBMC Frozen.fcs,97.7,99.8,78.7,4.57,81.4,5.22,4.17,0.40,0.50,0.35,0.46,76.5,6.02,17.3,10.7,9.32,0.87,0.55,
2022-10-27_Tasso ID 8 Vein PBMC Frozen.fcs,98.0,98.3,70.8,6.81,77.3,5.86,6.06,0.53,1.09,0.43,0.52,67.5,4.09,27.9,13.3,10.7,1.24,1.43,
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,97.1,99.1,70.5,7.47,81.9,3.72,6.67,0.16,0.38,0.37,0.47,85.7,3.28,11.1,13.4,12.0,0.86,0.55,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,96.4,99.7,61.1,6.52,70.1,10.0,3.02,0.18,0.65,0.49,0.34,75.6,1.70,22.7,27.2,23.5,3.24,0.43,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,98.6,99.4,72.4,4.50,83.4,5.99,7.98,0.39,1.53,0.43,0.43,69.6,2.75,27.0,11.8,9.32,1.64,0.86,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,97.1,97.5,65.9,10.1,87.7,5.13,5.81,0.30,0.62,0.32,0.32,70.7,2.17,27.1,13.6,10.8,1.67,1.08,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,95.8,99.6,79.9,4.74,79.8,6.21,3.36,0.49,0.87,0.28,0.50,54.9,1.53,43.4,9.83,6.69,1.85,1.29,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,98.4,99.2,61.0,12.2,84.8,3.04,3.80,0.96,0.98,0.50,0.62,85.4,1.96,12.4,20.1,17.8,1.48,0.89,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,98.8,99.8,55.3,6.46,76.2,8.53,5.42,0.30,0.77,0.47,0.42,85.7,4.77,9.26,30.4,28.7,1.45,0.30,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,92.5,99.1,73.7,3.98,66.8,4.34,9.93,12.7,0.75,0.37,0.34,51.8,1.52,46.7,10.0,8.87,0.85,0.31,
2022-10-27_Tasso ID 9 Vein Ack Lysed WB Frozen.fcs,89.7,97.7,69.8,6.71,77.6,3.90,12.1,1.42,0.42,0.21,0.18,62.7,3.92,33.3,9.89,8.10,1.47,0.33,
2022-10-27_Tasso ID 10 Vein Ack Lysed WB Frozen.fcs,77.2,98.3,59.1,5.46,62.7,9.43,4.33,25.4,2.11,0.44,0.27,48.2,0,51.8,26.8,22.5,4.02,0.26,
2022-10-27_Tasso ID 11 Vein Ack Lysed WB Frozen.fcs,93.8,97.8,68.2,3.18,75.9,6.04,16.0,1.70,1.43,0.34,0.25,50.0,0,50.0,9.84,8.71,0.85,0.28,
2022-10-27_Tasso ID 13 Vein Ack Lysed WB Frozen.fcs,92.5,98.4,65.5,6.61,75.6,9.22,9.96,1.91,1.07,0.34,0.19,51.4,2.78,45.8,13.5,11.1,1.91,0.46,
2022-10-27_Tasso ID 14 Vein Ack Lysed WB Frozen.fcs,91.8,95.8,75.7,3.39,60.9,7.93,8.58,9.98,0.97,0.17,0.44,46.5,1.75,51.3,10.1,7.42,1.92,0.78,
2022-10-27_Tasso ID 15 Vein Ack Lysed WB Frozen.fcs,88.7,93.0,63.5,7.01,63.0,5.10,6.52,8.91,2.69,0.26,0.16,52.9,0,47.1,18.7,16.9,1.39,0.32,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,95.5,97.9,68.6,4.89,65.1,6.93,13.3,5.66,1.05,0.31,0.34,38.6,2.76,57.2,9.97,8.28,1.16,0.53,
