,"Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen Axl+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD11b+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD16+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD32+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD68+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD80+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD85k+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD86+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD163+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CD206+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen CX3CR1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen PDL1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen PDL2+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/NOT CD45low, CD16+/CD14-/CD3-, CD19-/HLADR-/CD123+ (Basophils) ***/Phen Sirpa+ | Freq. of Parent (%)",
2022-10-27_Tasso ID 10 Vein Ack Lysed WB Frozen.fcs,0,0.23,94.7,4.37,88.0,100,0,83.0,0,1.61,0.46,0,1.38,0,0.23,0,0,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen.fcs,0,0,82.8,1.53,64.5,99.6,0,48.1,0,24.0,1.15,0,1.53,0.38,0.38,0.38,0,
2022-10-27_Tasso ID 11 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,83.3,4.67,74.3,99.6,0,52.9,0,40.9,2.33,0,1.56,0,0,0.78,0,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,0,0.086,89.1,0.34,69.5,99.7,0.21,39.1,0,4.51,0.60,0.086,1.07,0.47,0.13,2.19,0,
2022-10-27_Tasso ID 11 Vein Ack Lysed WB Frozen.fcs,0,0,85.6,1.16,59.9,99.5,0,45.5,0,10.2,0,0.23,1.39,0.46,0,0.46,0,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen.fcs,0,0,99.1,3.45,80.7,99.8,1.15,57.0,0,27.4,1.38,0,0.92,0,0,0.69,0,
2022-10-27_Tasso ID 13 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,97.8,3.71,77.0,99.9,0.78,45.6,0,30.2,0.78,0,1.12,0.35,0.086,0.43,0,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,0,0.093,97.6,1.31,83.1,99.5,0.47,35.0,0,5.79,1.12,0.19,1.40,1.40,0.093,0.93,0.093,
2022-10-27_Tasso ID 13 Vein Ack Lysed WB Frozen.fcs,0,0,98.8,1.69,84.7,100,0.73,52.5,0,18.6,0.48,0,1.21,0.24,0,0.48,0,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen.fcs,0,0,98.5,2.26,52.6,100,1.50,69.9,0,54.1,1.50,0,0,2.26,0,2.26,0.75,
2022-10-27_Tasso ID 14 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,99.3,4.73,76.4,100,0.68,83.1,0,50.7,3.38,0,1.35,0,0,1.35,0.68,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,0,0.11,98.4,1.66,82.5,99.9,0.78,76.5,0,7.88,2.55,0,1.33,1.66,0.22,1.11,2.00,
2022-10-27_Tasso ID 14 Vein Ack Lysed WB Frozen.fcs,0,0.098,95.1,3.52,64.3,99.9,0,64.8,0,2.64,0.88,0,1.66,0.59,0.098,0.29,0.39,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen.fcs,0,0,97.5,12.7,92.4,100,0,74.7,0,41.8,1.27,0,0,1.27,0,0,0,
2022-10-27_Tasso ID 15 Tasso Ack Lysed WB Frozen Shipped.fcs,0,0,92.8,4.82,81.9,100,0,73.5,0,78.3,2.41,0,0,0,0,0,0,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,0.11,0.17,96.7,1.17,89.0,99.9,0.67,60.6,0,1.22,1.33,0.056,0.50,0.67,0.056,0.56,0.056,
2022-10-27_Tasso ID 15 Vein Ack Lysed WB Frozen.fcs,0,0.34,93.5,4.10,85.0,100,0.34,72.7,0,18.1,1.71,0,1.71,0,0,0.34,0,
