,"Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen BTLA+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD25+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD27+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD28+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD38+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD69+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD103+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD127+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD137+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD161+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen CD223+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen GranzymeB+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen HLADR+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen ICOS+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen KI67+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen OX40+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen PD1+ | Freq. of Parent (%)","Time/Cells/Single Cells/Live/CD45+/CD19+, CD3- (B cells) ***/Phen TIM3+ | Freq. of Parent (%)",
2022-10-27_Tasso ID 9 Vein PBMC Frozen.fcs,97.1,4.44,28.7,0.14,25.6,0.96,0.055,0.24,26.9,14.5,1.11,1.84,99.9,0.80,0.28,0.39,2.98,2.76,
2022-10-27_Tasso ID 10 Vein PBMC Frozen.fcs,91.2,9.55,36.7,0.70,28.1,1.71,0.13,0.51,23.6,23.1,0.51,2.28,99.7,0.82,0.70,0.19,6.64,10.1,
2022-10-27_Tasso ID 11 Vein PBMC Frozen.fcs,99.0,2.96,27.6,1.74,30.2,0.82,0.17,0.33,30.0,13.6,0.94,2.96,99.9,0.43,0.22,0.28,2.86,4.96,
2022-10-27_Tasso ID 13 Vein PBMC Frozen.fcs,97.6,6.36,34.6,0.30,23.4,0.84,0.25,0.35,26.2,18.8,1.27,2.33,99.9,0.35,0.30,0.13,3.98,3.88,
2022-10-27_Tasso ID 14 Vein PBMC Frozen.fcs,98.1,3.32,23.4,0.42,34.8,0.83,0.14,0.69,28.9,12.0,0.55,1.66,99.7,0.97,1.25,0.69,1.25,2.91,
2022-10-27_Tasso ID 15 Vein PBMC Frozen.fcs,98.5,11.3,52.9,1.83,30.4,1.33,0.23,1.01,30.9,20.5,3.30,3.75,99.9,0.82,1.01,0.37,7.83,13.0,
2022-10-27_Tasso ID 10 Vein PBMC Frozen Pre.fcs,94.7,6.35,32.6,0.043,19.9,1.04,0.085,0.36,23.0,25.5,0.65,1.85,99.6,0.83,0.32,0.064,8.24,4.72,
2022-10-27_Tasso ID 6 Vein Ack Lysed WB Frozen.fcs,90.0,1.35,18.2,1.23,23.5,0.86,0.25,0.74,23.7,17.3,0.12,1.23,100,0.37,0.62,0.37,0.25,3.69,
2022-10-27_Tasso ID 8 Vein Ack Lysed WB Frozen.fcs,96.6,1.48,19.1,0.45,16.9,0.87,0.34,0.38,30.0,14.2,0.42,1.48,99.9,0.45,0.23,0.19,0.83,2.19,
2022-10-27_Tasso ID 9 Vein Ack Lysed WB Frozen.fcs,98.1,4.38,19.3,3.00,20.4,1.86,0,0.24,27.0,17.3,0.81,1.46,100,0.81,0.16,0.49,0.32,2.67,
2022-10-27_Tasso ID 10 Vein Ack Lysed WB Frozen.fcs,64.3,2.16,8.39,5.04,19.9,2.40,0,0.48,12.5,18.7,0,3.60,96.9,2.40,0.24,0,0.24,10.8,
2022-10-27_Tasso ID 11 Vein Ack Lysed WB Frozen.fcs,98.1,2.01,14.4,3.88,24.7,0.61,0.17,0.13,26.2,14.0,0.74,1.09,99.9,0.26,0.26,0.26,0.35,3.71,
2022-10-27_Tasso ID 13 Vein Ack Lysed WB Frozen.fcs,96.9,4.75,20.5,7.39,15.1,1.06,0.15,0.30,24.6,21.8,0.68,1.43,99.9,0.38,0.15,0,0.075,4.75,
2022-10-27_Tasso ID 14 Vein Ack Lysed WB Frozen.fcs,85.6,1.32,7.46,0.031,19.8,0.28,0.16,0.34,16.6,16.5,0.22,1.44,99.9,0.13,0.19,0.16,0.19,1.19,
2022-10-27_Tasso ID 15 Vein Ack Lysed WB Frozen.fcs,87.8,6.87,19.1,19.8,15.3,0.76,0.76,0.76,19.8,13.0,3.05,3.82,97.7,0,0.76,0,0,12.2,
